index,geometry,blankholder_force,sheet_metal_thickness,friction_coefficient
181809,concave,100000.0,0.95,0.05
181810,concave,100000.0,0.95,0.06
181811,concave,100000.0,0.95,0.07
181812,concave,100000.0,0.95,0.08
181813,concave,100000.0,0.95,0.09
181814,concave,100000.0,0.95,0.1
181815,concave,100000.0,0.95,0.11
181816,concave,100000.0,0.95,0.12
181817,concave,100000.0,0.95,0.13
181818,concave,100000.0,0.95,0.14
181819,concave,100000.0,0.95,0.15
181908,concave,100000.0,0.96,0.05
181909,concave,100000.0,0.96,0.06
181910,concave,100000.0,0.96,0.07
181911,concave,100000.0,0.96,0.08
181912,concave,100000.0,0.96,0.09
181913,concave,100000.0,0.96,0.1
181914,concave,100000.0,0.96,0.11
181915,concave,100000.0,0.96,0.12
181916,concave,100000.0,0.96,0.13
181917,concave,100000.0,0.96,0.14
181918,concave,100000.0,0.96,0.15
182007,concave,100000.0,0.97,0.05
182008,concave,100000.0,0.97,0.06
182009,concave,100000.0,0.97,0.07
182010,concave,100000.0,0.97,0.08
182011,concave,100000.0,0.97,0.09
182012,concave,100000.0,0.97,0.1
182013,concave,100000.0,0.97,0.11
182014,concave,100000.0,0.97,0.12
182015,concave,100000.0,0.97,0.13
182016,concave,100000.0,0.97,0.14
182017,concave,100000.0,0.97,0.15
182106,concave,100000.0,0.98,0.05
182107,concave,100000.0,0.98,0.06
182108,concave,100000.0,0.98,0.07
182109,concave,100000.0,0.98,0.08
182110,concave,100000.0,0.98,0.09
182111,concave,100000.0,0.98,0.1
182112,concave,100000.0,0.98,0.11
182113,concave,100000.0,0.98,0.12
182114,concave,100000.0,0.98,0.13
182115,concave,100000.0,0.98,0.14
182116,concave,100000.0,0.98,0.15
182205,concave,100000.0,0.99,0.05
182206,concave,100000.0,0.99,0.06
182207,concave,100000.0,0.99,0.07
182208,concave,100000.0,0.99,0.08
182209,concave,100000.0,0.99,0.09
182210,concave,100000.0,0.99,0.1
182211,concave,100000.0,0.99,0.11
182212,concave,100000.0,0.99,0.12
182213,concave,100000.0,0.99,0.13
182214,concave,100000.0,0.99,0.14
182215,concave,100000.0,0.99,0.15
182304,concave,100000.0,1.0,0.05
182305,concave,100000.0,1.0,0.06
182306,concave,100000.0,1.0,0.07
182307,concave,100000.0,1.0,0.08
182308,concave,100000.0,1.0,0.09
182309,concave,100000.0,1.0,0.1
182310,concave,100000.0,1.0,0.11
182311,concave,100000.0,1.0,0.12
182312,concave,100000.0,1.0,0.13
182313,concave,100000.0,1.0,0.14
182314,concave,100000.0,1.0,0.15
184185,concave,300000.0,0.95,0.05
184186,concave,300000.0,0.95,0.06
184187,concave,300000.0,0.95,0.07
184188,concave,300000.0,0.95,0.08
184189,concave,300000.0,0.95,0.09
184190,concave,300000.0,0.95,0.1
184191,concave,300000.0,0.95,0.11
184192,concave,300000.0,0.95,0.12
184193,concave,300000.0,0.95,0.13
184194,concave,300000.0,0.95,0.14
184195,concave,300000.0,0.95,0.15
184284,concave,300000.0,0.96,0.05
184285,concave,300000.0,0.96,0.06
184286,concave,300000.0,0.96,0.07
184287,concave,300000.0,0.96,0.08
184288,concave,300000.0,0.96,0.09
184289,concave,300000.0,0.96,0.1
184290,concave,300000.0,0.96,0.11
184291,concave,300000.0,0.96,0.12
184292,concave,300000.0,0.96,0.13
184293,concave,300000.0,0.96,0.14
184294,concave,300000.0,0.96,0.15
184383,concave,300000.0,0.97,0.05
184384,concave,300000.0,0.97,0.06
184385,concave,300000.0,0.97,0.07
184386,concave,300000.0,0.97,0.08
184387,concave,300000.0,0.97,0.09
184388,concave,300000.0,0.97,0.1
184389,concave,300000.0,0.97,0.11
184390,concave,300000.0,0.97,0.12
184391,concave,300000.0,0.97,0.13
184392,concave,300000.0,0.97,0.14
184393,concave,300000.0,0.97,0.15
184482,concave,300000.0,0.98,0.05
184483,concave,300000.0,0.98,0.06
184484,concave,300000.0,0.98,0.07
184485,concave,300000.0,0.98,0.08
184486,concave,300000.0,0.98,0.09
184487,concave,300000.0,0.98,0.1
184488,concave,300000.0,0.98,0.11
184489,concave,300000.0,0.98,0.12
184490,concave,300000.0,0.98,0.13
184491,concave,300000.0,0.98,0.14
184492,concave,300000.0,0.98,0.15
184581,concave,300000.0,0.99,0.05
184582,concave,300000.0,0.99,0.06
184583,concave,300000.0,0.99,0.07
184584,concave,300000.0,0.99,0.08
184585,concave,300000.0,0.99,0.09
184586,concave,300000.0,0.99,0.1
184587,concave,300000.0,0.99,0.11
184588,concave,300000.0,0.99,0.12
184589,concave,300000.0,0.99,0.13
184590,concave,300000.0,0.99,0.14
184591,concave,300000.0,0.99,0.15
184680,concave,300000.0,1.0,0.05
184681,concave,300000.0,1.0,0.06
184682,concave,300000.0,1.0,0.07
184683,concave,300000.0,1.0,0.08
184684,concave,300000.0,1.0,0.09
184685,concave,300000.0,1.0,0.1
184686,concave,300000.0,1.0,0.11
184687,concave,300000.0,1.0,0.12
184688,concave,300000.0,1.0,0.13
184689,concave,300000.0,1.0,0.14
184690,concave,300000.0,1.0,0.15
186561,concave,500000.0,0.95,0.05
186562,concave,500000.0,0.95,0.06
186563,concave,500000.0,0.95,0.07
186564,concave,500000.0,0.95,0.08
186565,concave,500000.0,0.95,0.09
186566,concave,500000.0,0.95,0.1
186567,concave,500000.0,0.95,0.11
186568,concave,500000.0,0.95,0.12
186569,concave,500000.0,0.95,0.13
186570,concave,500000.0,0.95,0.14
186571,concave,500000.0,0.95,0.15
186660,concave,500000.0,0.96,0.05
186661,concave,500000.0,0.96,0.06
186662,concave,500000.0,0.96,0.07
186663,concave,500000.0,0.96,0.08
186664,concave,500000.0,0.96,0.09
186665,concave,500000.0,0.96,0.1
186666,concave,500000.0,0.96,0.11
186667,concave,500000.0,0.96,0.12
186668,concave,500000.0,0.96,0.13
186669,concave,500000.0,0.96,0.14
186670,concave,500000.0,0.96,0.15
186759,concave,500000.0,0.97,0.05
186760,concave,500000.0,0.97,0.06
186761,concave,500000.0,0.97,0.07
186762,concave,500000.0,0.97,0.08
186763,concave,500000.0,0.97,0.09
186764,concave,500000.0,0.97,0.1
186765,concave,500000.0,0.97,0.11
186766,concave,500000.0,0.97,0.12
186767,concave,500000.0,0.97,0.13
186768,concave,500000.0,0.97,0.14
186769,concave,500000.0,0.97,0.15
186858,concave,500000.0,0.98,0.05
186859,concave,500000.0,0.98,0.06
186860,concave,500000.0,0.98,0.07
186861,concave,500000.0,0.98,0.08
186862,concave,500000.0,0.98,0.09
186863,concave,500000.0,0.98,0.1
186864,concave,500000.0,0.98,0.11
186865,concave,500000.0,0.98,0.12
186866,concave,500000.0,0.98,0.13
186867,concave,500000.0,0.98,0.14
186868,concave,500000.0,0.98,0.15
186957,concave,500000.0,0.99,0.05
186958,concave,500000.0,0.99,0.06
186959,concave,500000.0,0.99,0.07
186960,concave,500000.0,0.99,0.08
186961,concave,500000.0,0.99,0.09
186962,concave,500000.0,0.99,0.1
186963,concave,500000.0,0.99,0.11
186964,concave,500000.0,0.99,0.12
186965,concave,500000.0,0.99,0.13
186966,concave,500000.0,0.99,0.14
186967,concave,500000.0,0.99,0.15
187056,concave,500000.0,1.0,0.05
187057,concave,500000.0,1.0,0.06
187058,concave,500000.0,1.0,0.07
187059,concave,500000.0,1.0,0.08
187060,concave,500000.0,1.0,0.09
187061,concave,500000.0,1.0,0.1
187062,concave,500000.0,1.0,0.11
187063,concave,500000.0,1.0,0.12
187064,concave,500000.0,1.0,0.13
187065,concave,500000.0,1.0,0.14
187066,concave,500000.0,1.0,0.15
384957,convex,100000.0,0.95,0.05
384958,convex,100000.0,0.95,0.06
384959,convex,100000.0,0.95,0.07
384960,convex,100000.0,0.95,0.08
384961,convex,100000.0,0.95,0.09
384962,convex,100000.0,0.95,0.1
384963,convex,100000.0,0.95,0.11
384964,convex,100000.0,0.95,0.12
384965,convex,100000.0,0.95,0.13
384966,convex,100000.0,0.95,0.14
384967,convex,100000.0,0.95,0.15
385056,convex,100000.0,0.96,0.05
385057,convex,100000.0,0.96,0.06
385058,convex,100000.0,0.96,0.07
385059,convex,100000.0,0.96,0.08
385060,convex,100000.0,0.96,0.09
385061,convex,100000.0,0.96,0.1
385062,convex,100000.0,0.96,0.11
385063,convex,100000.0,0.96,0.12
385064,convex,100000.0,0.96,0.13
385065,convex,100000.0,0.96,0.14
385066,convex,100000.0,0.96,0.15
385155,convex,100000.0,0.97,0.05
385156,convex,100000.0,0.97,0.06
385157,convex,100000.0,0.97,0.07
385158,convex,100000.0,0.97,0.08
385159,convex,100000.0,0.97,0.09
385160,convex,100000.0,0.97,0.1
385161,convex,100000.0,0.97,0.11
385162,convex,100000.0,0.97,0.12
385163,convex,100000.0,0.97,0.13
385164,convex,100000.0,0.97,0.14
385165,convex,100000.0,0.97,0.15
385254,convex,100000.0,0.98,0.05
385255,convex,100000.0,0.98,0.06
385256,convex,100000.0,0.98,0.07
385257,convex,100000.0,0.98,0.08
385258,convex,100000.0,0.98,0.09
385259,convex,100000.0,0.98,0.1
385260,convex,100000.0,0.98,0.11
385261,convex,100000.0,0.98,0.12
385262,convex,100000.0,0.98,0.13
385263,convex,100000.0,0.98,0.14
385264,convex,100000.0,0.98,0.15
385353,convex,100000.0,0.99,0.05
385354,convex,100000.0,0.99,0.06
385355,convex,100000.0,0.99,0.07
385356,convex,100000.0,0.99,0.08
385357,convex,100000.0,0.99,0.09
385358,convex,100000.0,0.99,0.1
385359,convex,100000.0,0.99,0.11
385360,convex,100000.0,0.99,0.12
385361,convex,100000.0,0.99,0.13
385362,convex,100000.0,0.99,0.14
385363,convex,100000.0,0.99,0.15
385452,convex,100000.0,1.0,0.05
385453,convex,100000.0,1.0,0.06
385454,convex,100000.0,1.0,0.07
385455,convex,100000.0,1.0,0.08
385456,convex,100000.0,1.0,0.09
385457,convex,100000.0,1.0,0.1
385458,convex,100000.0,1.0,0.11
385459,convex,100000.0,1.0,0.12
385460,convex,100000.0,1.0,0.13
385461,convex,100000.0,1.0,0.14
385462,convex,100000.0,1.0,0.15
387333,convex,300000.0,0.95,0.05
387334,convex,300000.0,0.95,0.06
387335,convex,300000.0,0.95,0.07
387336,convex,300000.0,0.95,0.08
387337,convex,300000.0,0.95,0.09
387338,convex,300000.0,0.95,0.1
387339,convex,300000.0,0.95,0.11
387340,convex,300000.0,0.95,0.12
